iter	Passed	Remaining
260	3352	9493
261	3363	9473
262	3373	9454
263	3384	9434
264	3394	9415
265	3405	9397
266	3416	9378
267	3426	9359
268	3437	9341
269	3448	9322
270	3466	9324
271	3482	9320
272	3496	9310
273	3508	9296
274	3521	9283
275	3533	9269
276	3545	9253
277	3558	9241
278	3573	9233
279	3592	9238
280	3605	9225
281	3619	9214
282	3635	9210
283	3651	9206
284	3670	9209
285	3692	9219
286	3707	9211
287	3724	9208
288	3736	9191
289	3750	9182
290	3763	9168
291	3774	9152
292	3786	9137
293	3800	9126
294	3812	9111
295	3825	9097
296	3836	9079
297	3847	9062
298	3857	9044
299	3868	9026
300	3883	9018
301	3898	9009
302	3914	9005
303	3925	8987
304	3936	8969
305	3947	8951
306	3956	8930
307	3966	8912
308	3977	8895
309	3988	8878
310	4000	8862
311	4011	8845
312	4025	8834
313	4036	8818
314	4049	8806
315	4065	8800
316	4088	8808
317	4149	8899
318	4193	8952
319	4226	8980
320	4238	8964
321	4253	8956
322	4265	8939
323	4276	8922
324	4287	8905
325	4304	8899
326	4321	8894
327	4332	8876
328	4350	8873
329	4362	8856
330	4373	8839
331	4387	8828
332	4398	8809
333	4408	8791
334	4419	8772
335	4429	8754
336	4440	8736
337	4451	8717
338	4461	8699
339	4472	8681
340	4482	8663
341	4498	8655
342	4512	8642
343	4529	8637
344	4540	8620
345	4551	8602
346	4561	8584
347	4572	8567
348	4583	8549
349	4593	8531
350	4604	8513
351	4615	8496
352	4625	8478
353	4636	8460
354	4647	8443
355	4658	8426
356	4671	8414
357	4682	8396
358	4692	8378
359	4708	8370
360	4725	8364
361	4742	8357
362	4753	8341
363	4763	8323
364	4774	8306
365	4785	8289
366	4795	8272
367	4806	8255
368	4817	8238
369	4828	8221
370	4838	8204
371	4849	8187
372	4860	8169
373	4870	8152
374	4881	8135
375	4891	8118
376	4902	8101
377	4919	8095
378	4938	8091
379	4949	8075
380	4959	8058
381	4969	8039
382	4979	8022
383	4990	8005
384	5001	7988
385	5011	7971
386	5022	7955
387	5032	7938
388	5043	7922
389	5054	7905
390	5064	7888
391	5075	7871
392	5087	7857
393	5098	7841
394	5109	7825
395	5123	7814
396	5144	7813
397	5156	7799
398	5166	7782
399	5176	7764
400	5188	7750
401	5203	7739
402	5214	7724
403	5224	7707
404	5235	7691
405	5245	7675
406	5255	7657
407	5265	7640
408	5276	7624
409	5286	7608
410	5300	7595
411	5311	7580
412	5324	7567
413	5342	7561
414	5352	7545
415	5368	7536
416	5379	7520
417	5389	7504
418	5400	7488
419	5411	7472
420	5421	7456
421	5432	7440
422	5443	7425
423	5453	7409
424	5464	7393
425	5475	7377
426	5486	7361
427	5496	7345
428	5507	7330
429	5518	7314
430	5534	7306
431	5548	7295
432	5564	7286
433	5575	7271
434	5585	7255
435	5596	7239
436	5607	7224
437	5618	7208
438	5628	7193
439	5639	7177
440	5649	7161
441	5660	7145
442	5671	7130
443	5683	7117
444	5694	7102
445	5705	7087
446	5718	7074
447	5729	7058
448	5745	7050
449	5759	7039
450	5776	7031
451	5787	7016
452	5799	7002
453	5810	6987
454	5820	6972
455	5831	6956
456	5842	6941
457	5852	6925
458	5862	6910
459	5873	6894
460	5884	6879
461	5894	6864
462	5904	6848
463	5916	6834
464	5926	6819
465	5937	6803
466	5951	6792
467	5967	6784
468	5982	6773
469	5994	6759
470	6005	6744
471	6015	6729
472	6026	6714
473	6037	6699
474	6050	6687
475	6060	6672
476	6071	6657
477	6081	6641
478	6093	6627
479	6104	6612
480	6114	6597
481	6125	6582
482	6136	6568
483	6146	6553
484	6163	6545
485	6185	6541
486	6196	6526
487	6206	6512
488	6216	6496
489	6227	6481
490	6239	6468
491	6250	6454
492	6261	6439
493	6272	6425
494	6285	6412
495	6296	6398
496	6307	6383
497	6322	6373
498	6338	6363
499	6355	6355
500	6371	6345
501	6387	6336
502	6403	6326
503	6414	6312
504	6424	6297
505	6435	6282
506	6446	6268
507	6457	6253
508	6467	6238
509	6478	6224
510	6488	6209
511	6500	6195
512	6510	6180
513	6521	6166
514	6532	6151
515	6542	6137
516	6553	6122
517	6564	6108
518	6579	6097
519	6593	6086
520	6608	6075
521	6620	6062
522	6630	6047
523	6641	6033
524	6652	6018
525	6662	6004
526	6673	5989
527	6684	5975
528	6697	5963
529	6708	5948
530	6718	5934
531	6729	5919
532	6740	5905
533	6750	5890
534	6763	5878
535	6774	5864
536	6791	5855
537	6810	5848
538	6821	5834
539	6831	5819
540	6842	5805
541	6853	5790
542	6865	5778
543	6875	5763
544	6886	5749
545	6897	5735
546	6908	5721
547	6919	5707
548	6929	5692
549	6940	5678
550	6950	5664
551	6961	5649
552	6973	5636
553	6983	5622
554	6999	5612
555	7017	5603
556	7029	5590
557	7039	5576
558	7050	5562
559	7061	5548
560	7072	5534
561	7083	5520
562	7093	5506
563	7104	5492
564	7115	5478
565	7126	5464
566	7137	5450
567	7147	5436
568	7158	5422
569	7170	5409
570	7181	5395
571	7191	5381
572	7207	5370
573	7222	5359
574	7238	5349
575	7249	5336
576	7264	5325
577	7283	5317
578	7296	5305
579	7306	5291
580	7317	5277
581	7328	5263
582	7339	5249
583	7349	5235
584	7360	5221
585	7371	5207
586	7381	5193
587	7392	5179
588	7401	5164
589	7417	5154
590	7432	5143
591	7451	5135
592	7462	5121
593	7472	5107
594	7483	5093
595	7494	5079
596	7504	5066
597	7515	5052
598	7526	5038
599	7536	5024
600	7547	5010
601	7557	4996
602	7568	4982
603	7579	4969
604	7590	4955
605	7600	4941
606	7611	4927
607	7625	4916
608	7641	4906
609	7655	4894
610	7667	4881
611	7678	4868
612	7689	4854
613	7700	4840
614	7710	4827
615	7720	4812
616	7731	4799
617	7742	4786
618	7753	4772
619	7765	4759
620	7776	4745
621	7787	4732
622	7799	4719
623	7810	4706
624	7821	4692
625	7835	4681
626	7851	4670
627	7862	4657
628	7878	4646
629	7889	4633
630	7899	4619
631	7910	4606
632	7921	4592
633	7931	4578
634	7942	4565
635	7952	4551
636	7963	4538
637	7974	4524
638	7984	4510
639	7995	4497
640	8006	4483
641	8016	4470
642	8027	4456
643	8047	4448
644	8062	4437
645	8077	4426
646	8088	4413
647	8099	4399
648	8110	4386
649	8120	4372
650	8131	4359
651	8142	4345
652	8153	4332
653	8164	4319
654	8174	4305
655	8185	4292
656	8195	4278
657	8206	4265
658	8217	4251
659	8227	4238
660	8238	4225
661	8251	4213
662	8266	4202
663	8282	4190
664	8293	4178
665	8304	4164
666	8315	4151
667	8327	4139
668	8338	4125
669	8349	4112
670	8360	4099
671	8371	4085
672	8381	4072
673	8392	4059
674	8403	4045
675	8413	4032
676	8424	4019
677	8435	4006
678	8445	3992
679	8463	3982
680	8479	3972
681	8491	3959
682	8502	3946
683	8513	3933
684	8524	3919
685	8534	3906
686	8545	3893
687	8556	3880
688	8566	3866
689	8577	3853
690	8588	3840
691	8598	3827
692	8609	3813
693	8620	3800
694	8632	3788
695	8643	3775
696	8653	3762
697	8667	3750
698	8682	3738
699	8701	3729
700	8712	3716
701	8723	3702
702	8734	3689
703	8745	3677
704	8756	3664
705	8767	3650
706	8778	3637
707	8788	3624
708	8799	3611
709	8809	3598
710	8820	3585
711	8831	3572
712	8844	3559
713	8854	3546
714	8865	3533
715	8878	3521
716	8892	3509
717	8911	3499
718	8922	3486
719	8932	3473
720	8943	3460
721	8953	3447
722	8965	3434
723	8975	3421
724	8986	3408
725	8996	3395
726	9007	3382
727	9017	3369
728	9028	3356
729	9038	3343
730	9049	3330
731	9060	3317
732	9071	3304
733	9085	3292
734	9105	3282
735	9117	3270
736	9128	3257
737	9139	3244
738	9150	3231
739	9159	3218
740	9170	3205
741	9180	3192
742	9191	3179
743	9202	3166
744	9212	3153
745	9224	3140
746	9235	3127
747	9248	3115
748	9259	3103
749	9270	3090
750	9281	3077
751	9296	3065
752	9313	3055
753	9327	3043
754	9338	3030
755	9349	3017
756	9360	3004
757	9373	2992
758	9383	2979
759	9394	2966
760	9405	2953
761	9415	2940
762	9426	2927
763	9436	2915
764	9447	2902
765	9458	2889
766	9469	2876
767	9480	2863
768	9491	2851
769	9509	2840
770	9525	2829
771	9537	2816
772	9548	2804
773	9559	2791
774	9570	2778
775	9580	2765
776	9591	2752
777	9602	2740
778	9613	2727
779	9624	2714
780	9634	2701
781	9645	2689
782	9656	2676
783	9667	2663
784	9678	2650
785	9688	2637
786	9699	2625
787	9715	2613
788	9732	2602
789	9749	2591
790	9762	2579
791	9773	2566
792	9784	2554
793	9795	2541
794	9805	2528
795	9818	2516
796	9829	2503
797	9840	2491
798	9851	2478
799	9862	2465
800	9873	2452
801	9886	2440
802	9897	2428
803	9907	2415
804	9920	2403
805	9930	2390
806	9945	2378
807	9959	2366
808	9974	2354
809	9985	2342
810	9996	2329
811	10007	2317
812	10018	2304
813	10029	2291
814	10039	2278
815	10050	2266
816	10061	2253
817	10071	2240
818	10082	2228
819	10093	2215
820	10103	2202
821	10114	2190
822	10131	2178
823	10144	2166
824	10160	2155
825	10172	2142
826	10183	2130
827	10194	2117
828	10204	2104
829	10216	2092
830	10227	2079
831	10237	2067
832	10249	2054
833	10260	2042
834	10271	2029
835	10282	2017
836	10293	2004
837	10303	1991
838	10314	1979
839	10325	1966
840	10341	1955
841	10353	1942
842	10370	1931
843	10381	1918
844	10392	1906
845	10404	1893
846	10416	1881
847	10427	1869
848	10438	1856
849	10449	1844
850	10460	1831
851	10470	1818
852	10481	1806
853	10492	1793
854	10502	1781
855	10513	1768
856	10524	1756
857	10534	1743
858	10550	1731
859	10564	1719
860	10578	1707
861	10590	1695
862	10601	1682
863	10612	1670
864	10622	1657
865	10633	1645
866	10646	1633
867	10657	1620
868	10668	1608
869	10679	1595
870	10689	1583
871	10700	1570
872	10710	1558
873	10722	1545
874	10732	1533
875	10743	1520
876	10758	1508
877	10778	1497
878	10789	1485
879	10800	1472
880	10811	1460
881	10822	1447
882	10832	1435
883	10843	1422
884	10854	1410
885	10865	1398
886	10876	1385
887	10887	1373
888	10898	1360
889	10909	1348
890	10921	1336
891	10934	1323
892	10948	1311
893	10982	1302
894	11028	1293
895	11050	1282
896	11062	1270
897	11075	1257
898	11087	1245
899	11098	1233
900	11111	1220
901	11122	1208
902	11134	1196
903	11145	1183
904	11156	1171
905	11167	1158
906	11179	1146
907	11194	1134
908	11210	1122
909	11227	1110
910	11239	1098
911	11250	1085
912	11261	1073
913	11274	1060
914	11286	1048
915	11297	1036
916	11308	1023
917	11320	1011
918	11330	998
919	11341	986
920	11352	973
921	11363	961
922	11373	948
923	11384	936
924	11400	924
925	11416	912
926	11427	899
927	11442	887
928	11455	875
929	11471	863
930	11488	851
931	11500	839
932	11511	826
933	11521	814
934	11532	801
935	11543	789
936	11554	776
937	11565	764
938	11575	751
939	11587	739
940	11599	727
941	11615	715
942	11633	703
943	11645	690
944	11657	678
945	11667	666
946	11678	653
947	11689	641
948	11707	629
949	11729	617
950	11740	604
951	11750	592
952	11761	580
953	11772	567
954	11783	555
955	11794	542
956	11809	530
957	11828	518
958	11840	506
959	11851	493
960	11862	481
961	11873	469
962	11884	456
963	11895	444
964	11905	431
965	11916	419
966	11927	407
967	11937	394
968	11948	382
969	11959	369
970	11970	357
971	11984	345
972	12001	333
973	12016	320
974	12033	308
975	12050	296
976	12061	283
977	12072	271
978	12083	259
979	12095	246
980	12106	234
981	12116	222
982	12147	210
983	12171	197
984	12191	185
985	12202	173
986	12213	160
987	12233	148
988	12247	136
989	12258	123
990	12269	111
991	12280	99
992	12291	86
993	12302	74
994	12313	61
995	12324	49
996	12335	37
997	12346	24
998	12356	12
999	12367	0
